file,correct_prediction_percent
compute_int_0.gz.txt,14.34
compute_int_1.gz.txt,34.66
compute_int_2.gz.txt,20.76
compute_int_3.gz.txt,44.13
compute_int_4.gz.txt,1.04
compute_int_5.gz.txt,27.24
compute_int_6.gz.txt,30.96
compute_int_7.gz.txt,23.12
compute_int_8.gz.txt,15.44
compute_int_9.gz.txt,32.58
compute_int_10.gz.txt,25.61
compute_int_11.gz.txt,17.26
compute_int_12.gz.txt,48.78
compute_int_13.gz.txt,34.52
compute_int_14.gz.txt,33.13
compute_int_15.gz.txt,13.95
compute_int_16.gz.txt,17.1
compute_int_17.gz.txt,1.23
compute_int_18.gz.txt,40.24
compute_int_19.gz.txt,35.44











